"sensor_id","data1","data2","date_time","location","data3"
"735410EC5CCA42C3","24.8","23.0","2018-04-03 11:00:23.100151","1","2.2"
"EC000000DCFC8E12","23.0","26.0","2018-04-03 11:00:23.521345","5","2.5"
"EA000000DD740712","22.7","26.0","2018-04-03 11:00:23.817742","6","2.2"
"735410EC5CCA42C3","24.8","22.0","2018-04-03 11:10:17.249733","1","1.7"
"EC000000DCFC8E12","23.0","26.0","2018-04-03 11:10:17.561729","5","2.5"
"EA000000DD740712","22.7","26.0","2018-04-03 11:10:17.842526","6","2.3"
"735410EC5CCA42C3","24.8","22.0","2018-04-03 11:20:17.233641","1","1.7"
"EC000000DCFC8E12","23.0","26.0","2018-04-03 11:20:17.545637","5","2.4"
"EA000000DD740712","22.8","25.0","2018-04-03 11:20:17.873233","6","1.7"
"735410EC5CCA42C3","24.8","22.0","2018-04-03 11:30:17.248749","1","1.7"
"EC000000DCFC8E12","22.9","26.0","2018-04-03 11:30:17.529545","5","2.4"
"EA000000DD740712","22.8","25.0","2018-04-03 11:30:17.810341","6","1.7"
"735410EC5CCA42C3","24.9","22.0","2018-04-03 11:40:17.248256","1","1.7"
"EC000000DCFC8E12","22.9","26.0","2018-04-03 11:40:17.529053","5","2.4"
"EA000000DD740712","22.8","25.0","2018-04-03 11:40:17.825449","6","1.7"
"735410EC5CCA42C3","24.9","22.0","2018-04-03 11:50:17.247764","1","1.7"
"EC000000DCFC8E12","22.9","25.0","2018-04-03 11:50:17.54416","5","1.8"
"EA000000DD740712","22.8","25.0","2018-04-03 11:50:17.824956","6","1.8"
"735410EC5CCA42C3","24.8","21.0","2018-04-03 12:00:17.262871","1","1.0"
"EC000000DCFC8E12","22.9","25.0","2018-04-03 12:00:17.543668","5","1.8"
"EA000000DD740712","22.8","24.0","2018-04-03 12:00:17.840064","6","1.2"
"735410EC5CCA42C3","24.8","21.0","2018-04-03 12:10:17.839571","1","1.0"
"EC000000DCFC8E12","22.9","25.0","2018-04-03 12:10:18.135968","5","1.8"
"EA000000DD740712","22.8","24.0","2018-04-03 12:10:18.416764","6","1.2"
"735410EC5CCA42C3","24.8","21.0","2018-04-03 12:20:17.244872","1","1.0"
"EC000000DCFC8E12","22.9","25.0","2018-04-03 12:20:17.525587","5","1.8"
"EA000000DD740712","22.8","24.0","2018-04-03 12:20:17.821898","6","1.2"
"735410EC5CCA42C3","24.9","20.0","2018-04-03 12:30:17.173015","1","0.4"
"EC000000DCFC8E12","22.9","24.0","2018-04-03 12:30:17.4694","5","1.3"
"EA000000DD740712","22.8","23.0","2018-04-03 12:30:17.750185","6","0.6"
"735410EC5CCA42C3","24.9","20.0","2018-04-03 12:40:17.143429","1","0.4"
"EC000000DCFC8E12","22.9","24.0","2018-04-03 12:40:17.439824","5","1.3"
"EA000000DD740712","22.8","23.0","2018-04-03 12:40:17.767417","6","0.6"
"735410EC5CCA42C3","24.9","20.0","2018-04-03 12:50:17.141392","1","0.4"
"EC000000DCFC8E12","22.9","24.0","2018-04-03 12:50:17.422188","5","1.3"
"EA000000DD740712","22.8","23.0","2018-04-03 12:50:17.702985","6","0.6"
"735410EC5CCA42C3","24.9","20.0","2018-04-03 13:00:17.172099","1","0.4"
"EC000000DCFC8E12","22.9","24.0","2018-04-03 13:00:17.452896","5","1.3"
"EA000000DD740712","22.8","23.0","2018-04-03 13:00:17.733692","6","0.6"
"735410EC5CCA42C3","24.9","20.0","2018-04-03 13:10:17.156007","1","0.4"
"EC000000DCFC8E12","22.9","24.0","2018-04-03 13:10:17.436803","5","1.3"
"EA000000DD740712","22.8","23.0","2018-04-03 13:10:17.7176","6","0.6"
"735410EC5CCA42C3","25.0","20.0","2018-04-03 13:20:17.171114","1","0.5"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 13:20:17.451911","5","0.7"
"EA000000DD740712","22.8","23.0","2018-04-03 13:20:17.748307","6","0.6"
"735410EC5CCA42C3","25.0","19.0","2018-04-03 13:30:17.170622","1","-0.1"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 13:30:17.435819","5","0.7"
"EA000000DD740712","22.8","22.0","2018-04-03 13:30:17.732215","6","0.0"
"735410EC5CCA42C3","25.0","19.0","2018-04-03 13:40:17.17013","1","-0.1"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 13:40:17.466526","5","0.7"
"EA000000DD740712","22.9","22.0","2018-04-03 13:40:17.747322","6","0.0"
"735410EC5CCA42C3","25.0","19.0","2018-04-03 13:50:17.200837","1","-0.1"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 13:50:17.497233","5","0.7"
"EA000000DD740712","22.8","22.0","2018-04-03 13:50:17.793629","6","0.0"
"735410EC5CCA42C3","25.0","19.0","2018-04-03 14:00:17.169145","1","-0.1"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 14:00:17.481141","5","0.7"
"EA000000DD740712","22.8","22.0","2018-04-03 14:00:17.777537","6","0.0"
"735410EC5CCA42C3","25.0","19.0","2018-04-03 14:10:17.168652","1","-0.1"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 14:10:17.449449","5","0.7"
"EA000000DD740712","22.9","22.0","2018-04-03 14:10:17.714645","6","0.0"
"735410EC5CCA42C3","24.9","19.0","2018-04-03 14:20:17.18376","1","-0.2"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 14:20:17.464556","5","0.7"
"EA000000DD740712","22.9","22.0","2018-04-03 14:20:17.745353","6","0.0"
"735410EC5CCA42C3","24.9","19.0","2018-04-03 14:30:17.183267","1","-0.2"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 14:30:17.464064","5","0.7"
"EA000000DD740712","22.9","22.0","2018-04-03 14:30:17.72926","6","0.0"
"735410EC5CCA42C3","24.8","19.0","2018-04-03 14:40:17.099556","1","-0.3"
"EC000000DCFC8E12","22.9","22.0","2018-04-03 14:40:17.395865","5","0.1"
"EA000000DD740712","22.8","22.0","2018-04-03 14:40:17.676579","6","0.0"
"735410EC5CCA42C3","24.8","19.0","2018-04-03 14:50:17.065872","1","-0.3"
"EC000000DCFC8E12","22.9","22.0","2018-04-03 14:50:17.377856","5","0.1"
"EA000000DD740712","22.8","21.0","2018-04-03 14:50:17.658642","6","-0.5"
"735410EC5CCA42C3","24.8","19.0","2018-04-03 15:00:17.07464","1","-0.3"
"EC000000DCFC8E12","22.9","22.0","2018-04-03 15:00:17.355435","5","0.1"
"EA000000DD740712","22.8","21.0","2018-04-03 15:00:17.63623","6","-0.5"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 15:10:17.105234","1","-0.3"
"EC000000DCFC8E12","22.9","22.0","2018-04-03 15:10:17.38603","5","0.0"
"EA000000DD740712","22.8","21.0","2018-04-03 15:10:17.666827","6","-0.5"
"735410EC5CCA42C3","24.8","19.0","2018-04-03 15:20:17.104741","1","-0.3"
"EC000000DCFC8E12","22.8","23.0","2018-04-03 15:20:17.416737","5","0.6"
"EA000000DD740712","22.8","22.0","2018-04-03 15:20:17.713134","6","0.0"
"735410EC5CCA42C3","24.8","19.0","2018-04-03 15:30:17.119849","1","-0.3"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 15:30:17.400645","5","0.6"
"EA000000DD740712","22.8","22.0","2018-04-03 15:30:17.681442","6","0.0"
"735410EC5CCA42C3","24.8","19.0","2018-04-03 15:40:17.103757","1","-0.3"
"EC000000DCFC8E12","22.8","23.0","2018-04-03 15:40:17.431352","5","0.6"
"EA000000DD740712","22.8","22.0","2018-04-03 15:40:17.712149","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 15:50:17.118864","1","-0.3"
"EC000000DCFC8E12","22.8","23.0","2018-04-03 15:50:17.41526","5","0.6"
"EA000000DD740712","22.8","22.0","2018-04-03 15:50:17.696057","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 16:00:17.118372","1","-0.3"
"EC000000DCFC8E12","22.8","23.0","2018-04-03 16:00:17.399168","5","0.6"
"EA000000DD740712","22.8","22.0","2018-04-03 16:00:17.679964","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 16:10:17.133479","1","-0.3"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 16:10:17.429875","5","0.7"
"EA000000DD740712","22.8","22.0","2018-04-03 16:10:17.710672","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 16:20:17.132987","1","-0.3"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 16:20:17.429383","5","0.6"
"EA000000DD740712","22.8","22.0","2018-04-03 16:20:17.694579","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 16:30:17.132494","1","-0.3"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 16:30:17.413291","5","0.6"
"EA000000DD740712","22.8","22.0","2018-04-03 16:30:17.678487","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 16:40:17.113557","1","-0.3"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 16:40:17.418555","5","0.6"
"EA000000DD740712","22.8","22.0","2018-04-03 16:40:17.719954","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 16:50:17.100976","1","-0.4"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 16:50:17.405174","5","0.7"
"EA000000DD740712","22.8","22.0","2018-04-03 16:50:17.655973","6","0.0"
"735410EC5CCA42C3","24.7","19.0","2018-04-03 17:00:17.029903","1","-0.4"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 17:00:17.326898","5","0.6"
"EA000000DD740712","22.8","22.0","2018-04-03 17:00:17.615288","6","0.0"
