"sensor_id","data1","data2","date_time","location","data3"
"735410EC5CCA42C3","24.8","12.0","2018-02-19 17:33:20.269218","4","-6.4"
"EA000000DD740712","24.1","13.0","2018-02-19 17:33:20.439214","5","-5.9"
"EC000000DCFC8E12","24.1","14.0","2018-02-19 17:33:20.599211","6","-4.9"
"735410EC5CCA42C3","24.7","12.0","2018-02-19 17:34:20.268018","4","-6.5"
"EA000000DD740712","24.1","13.0","2018-02-19 17:34:20.428015","5","-5.9"
"EC000000DCFC8E12","24.1","14.0","2018-02-19 17:34:20.588011","6","-4.9"
"735410EC5CCA42C3","24.7","12.0","2018-02-19 17:35:20.266818","4","-6.5"
"EA000000DD740712","24.1","13.0","2018-02-19 17:35:20.426815","5","-5.9"
"EC000000DCFC8E12","24.1","14.0","2018-02-19 17:35:20.576812","6","-5.0"
"735410EC5CCA42C3","24.7","12.0","2018-02-19 17:36:20.265618","4","-6.5"
"EA000000DD740712","24.1","13.0","2018-02-19 17:36:20.445614","5","-5.9"
"EC000000DCFC8E12","24.1","14.0","2018-02-19 17:36:20.605611","6","-5.0"
"735410EC5CCA42C3","24.7","12.0","2018-02-19 17:37:12.824567","4","-6.5"
"EA000000DD740712","24.1","12.0","2018-02-19 17:37:13.014563","5","-7.0"
"EC000000DCFC8E12","24.0","14.0","2018-02-19 17:37:13.16456","6","-5.0"
"735410EC5CCA42C3","24.7","12.0","2018-02-19 17:38:10.753408","4","-6.5"
"EA000000DD740712","24.1","12.0","2018-02-19 17:38:10.893405","5","-7.0"
"EC000000DCFC8E12","24.0","13.0","2018-02-19 17:38:11.043402","6","-6.0"
"735410EC5CCA42C3","24.7","11.0","2018-02-19 17:39:10.752208","4","-7.6"
"EA000000DD740712","24.0","12.0","2018-02-19 17:39:10.902205","5","-7.0"
"EC000000DCFC8E12","24.0","13.0","2018-02-19 17:39:11.052202","6","-6.0"
"735410EC5CCA42C3","24.7","11.0","2018-02-19 17:40:10.751008","4","-7.6"
"EA000000DD740712","24.0","12.0","2018-02-19 17:40:10.901005","5","-7.0"
"EC000000DCFC8E12","24.0","13.0","2018-02-19 17:40:11.051002","6","-6.0"
"735410EC5CCA42C3","24.7","11.0","2018-02-19 17:41:10.759808","4","-7.6"
"EA000000DD740712","24.0","12.0","2018-02-19 17:41:10.909805","5","-7.0"
"EC000000DCFC8E12","23.9","13.0","2018-02-19 17:41:11.059802","6","-6.0"
"735410EC5CCA42C3","24.7","11.0","2018-02-19 17:42:10.768608","4","-7.6"
"EA000000DD740712","24.0","12.0","2018-02-19 17:42:10.918605","5","-7.0"
"EC000000DCFC8E12","23.9","13.0","2018-02-19 17:42:11.068602","6","-6.1"
"735410EC5CCA42C3","24.6","11.0","2018-02-19 17:43:10.777407","4","-7.7"
"EA000000DD740712","24.0","12.0","2018-02-19 17:43:10.917405","5","-7.0"
"EC000000DCFC8E12","23.9","13.0","2018-02-19 17:43:11.067402","6","-6.1"
"735410EC5CCA42C3","24.6","11.0","2018-02-19 17:44:10.776207","4","-7.7"
"EA000000DD740712","24.0","12.0","2018-02-19 17:44:10.936204","5","-7.1"
"EC000000DCFC8E12","23.8","13.0","2018-02-19 17:44:11.086201","6","-6.1"
"735410EC5CCA42C3","24.6","11.0","2018-02-19 17:45:10.775007","4","-7.7"
"EA000000DD740712","24.0","12.0","2018-02-19 17:45:10.945004","5","-7.1"
"EC000000DCFC8E12","23.8","13.0","2018-02-19 17:45:11.095001","6","-6.1"
"735410EC5CCA42C3","24.6","11.0","2018-02-19 17:46:10.773807","4","-7.7"
"EA000000DD740712","23.9","12.0","2018-02-19 17:46:10.943804","5","-7.1"
